job_id,job_title,company,location,job_description,experience,education,salary,job_type,clean_description,original_length,clean_length,regex_skills,phrase_skills
JOB07402,Frontend Developer,DataBridge Analytics,"Gurgaon, India","We are looking for a Frontend Developer to join our team. The candidate should have experience with Git, HTML, TypeScript, React, CSS and JavaScript. The role involves developing solutions, analyzing requirements, collaborating with cross-functional teams, and maintaining high-quality deliverables. Strong problem-solving and communication skills are preferred.",1-3 years,B.E.,9-14 LPA,Full-time,we are looking for a frontend developer to join our team the candidate should have experience with git html typescript react css and javascript the role involves developing solutions analyzing requirements collaborating with cross functional teams and maintaining high quality deliverables strong problem solving and communication skills are preferred,362,351,['JavaScript'],[]
JOB05835,Software Engineer,Vertex Digital,"Mumbai, India","We are looking for a Software Engineer to join our team. The candidate should have experience with Git, Python, SQL and REST API. The role involves developing solutions, analyzing requirements, collaborating with cross-functional teams, and maintaining high-quality deliverables. Strong problem-solving and communication skills are preferred.",3-5 years,Bachelor's Degree,12-16 LPA,Internship,we are looking for a software engineer to join our team the candidate should have experience with git python sql and rest api the role involves developing solutions analyzing requirements collaborating with cross functional teams and maintaining high quality deliverables strong problem solving and communication skills are preferred,342,333,"['Python', 'SQL']",[]
JOB02123,Machine Learning Engineer,CloudSphere,"Mumbai, India","We are looking for a Machine Learning Engineer to join our team. The candidate should have experience with PyTorch, Docker, Python, TensorFlow and AWS. The role involves developing solutions, analyzing requirements, collaborating with cross-functional teams, and maintaining high-quality deliverables. Strong problem-solving and communication skills are preferred.",1-3 years,B.E.,8-11 LPA,Full-time,we are looking for a machine learning engineer to join our team the candidate should have experience with pytorch docker python tensorflow and aws the role involves developing solutions analyzing requirements collaborating with cross functional teams and maintaining high quality deliverables strong problem solving and communication skills are preferred,364,354,"['Python', 'AWS', 'Docker', 'Machine Learning']",['machine learning']
JOB08789,Cloud Engineer,Apex Solutions,"Mumbai, India","We are looking for a Cloud Engineer to join our team. The candidate should have experience with Linux, Docker, Kubernetes, Azure, AWS and Terraform. The role involves developing solutions, analyzing requirements, collaborating with cross-functional teams, and maintaining high-quality deliverables. Strong problem-solving and communication skills are preferred.",3-5 years,Master's Degree,11-16 LPA,Full-time,we are looking for a cloud engineer to join our team the candidate should have experience with linux docker kubernetes azure aws and terraform the role involves developing solutions analyzing requirements collaborating with cross functional teams and maintaining high quality deliverables strong problem solving and communication skills are preferred,361,350,"['AWS', 'Azure', 'Docker', 'Kubernetes']",[]
JOB00305,Frontend Developer,Quantix Technologies,"Noida, India","We are looking for a Frontend Developer to join our team. The candidate should have experience with TypeScript, Git, REST API, JavaScript, React and CSS. The role involves developing solutions, analyzing requirements, collaborating with cross-functional teams, and maintaining high-quality deliverables. Strong problem-solving and communication skills are preferred.",3-5 years,B.Tech,10-12 LPA,Full-time,we are looking for a frontend developer to join our team the candidate should have experience with typescript git rest api javascript react and css the role involves developing solutions analyzing requirements collaborating with cross functional teams and maintaining high quality deliverables strong problem solving and communication skills are preferred,366,355,['JavaScript'],[]
JOB02532,Data Analyst,NexaWorks,"Bangalore, India","We are looking for a Data Analyst to join our team. The candidate should have experience with Python, Excel, SQL, Pandas, Tableau and Power BI. The role involves developing solutions, analyzing requirements, collaborating with cross-functional teams, and maintaining high-quality deliverables. Strong problem-solving and communication skills are preferred.",5-8 years,B.E.,5-10 LPA,Full-time,we are looking for a data analyst to join our team the candidate should have experience with python excel sql pandas tableau and power bi the role involves developing solutions analyzing requirements collaborating with cross functional teams and maintaining high quality deliverables strong problem solving and communication skills are preferred,356,345,"['Python', 'SQL', 'Power BI']",['power bi']
JOB02996,Machine Learning Engineer,NexaWorks,"Hyderabad, India","We are looking for a Machine Learning Engineer to join our team. The candidate should have experience with Scikit-learn, Python, PyTorch, SQL and TensorFlow. The role involves developing solutions, analyzing requirements, collaborating with cross-functional teams, and maintaining high-quality deliverables. Strong problem-solving and communication skills are preferred.",2-4 years,B.E.,10-13 LPA,Full-time,we are looking for a machine learning engineer to join our team the candidate should have experience with scikit learn python pytorch sql and tensorflow the role involves developing solutions analyzing requirements collaborating with cross functional teams and maintaining high quality deliverables strong problem solving and communication skills are preferred,370,360,"['Python', 'SQL', 'Machine Learning']",['machine learning']
JOB07660,DevOps Engineer,TechNova Solutions,"Chennai, India","We are looking for a DevOps Engineer to join our team. The candidate should have experience with AWS, Jenkins, Kubernetes, Git and Terraform. The role involves developing solutions, analyzing requirements, collaborating with cross-functional teams, and maintaining high-quality deliverables. Strong problem-solving and communication skills are preferred.",2-4 years,B.E.,8-12 LPA,Full-time,we are looking for a devops engineer to join our team the candidate should have experience with aws jenkins kubernetes git and terraform the role involves developing solutions analyzing requirements collaborating with cross functional teams and maintaining high quality deliverables strong problem solving and communication skills are preferred,354,344,"['AWS', 'Kubernetes']",[]
JOB08225,QA Engineer,CloudSphere,"Gurgaon, India","We are looking for a QA Engineer to join our team. The candidate should have experience with SQL, Selenium, Python and Jira. The role involves developing solutions, analyzing requirements, collaborating with cross-functional teams, and maintaining high-quality deliverables. Strong problem-solving and communication skills are preferred.",2-4 years,B.Tech,7-11 LPA,Part-time,we are looking for a qa engineer to join our team the candidate should have experience with sql selenium python and jira the role involves developing solutions analyzing requirements collaborating with cross functional teams and maintaining high quality deliverables strong problem solving and communication skills are preferred,337,328,"['Python', 'SQL']",[]
JOB04449,Business Analyst,NexaWorks,"Delhi, India","We are looking for a Business Analyst to join our team. The candidate should have experience with Power BI, SQL, Business Analysis, Communication, Tableau and Excel. The role involves developing solutions, analyzing requirements, collaborating with cross-functional teams, and maintaining high-quality deliverables. Strong problem-solving and communication skills are preferred.",1-3 years,Bachelor's Degree,10-14 LPA,Full-time,we are looking for a business analyst to join our team the candidate should have experience with power bi sql business analysis communication tableau and excel the role involves developing solutions analyzing requirements collaborating with cross functional teams and maintaining high quality deliverables strong problem solving and communication skills are preferred,378,367,"['SQL', 'Power BI']",['power bi']
JOB03621,Data Analyst,Apex Solutions,"Gwalior, India","We are looking for a Data Analyst to join our team. The candidate should have experience with Tableau, Statistics, SQL and Power BI. The role involves developing solutions, analyzing requirements, collaborating with cross-functional teams, and maintaining high-quality deliverables. Strong problem-solving and communication skills are preferred.",5-8 years,B.E.,8-11 LPA,Internship,we are looking for a data analyst to join our team the candidate should have experience with tableau statistics sql and power bi the role involves developing solutions analyzing requirements collaborating with cross functional teams and maintaining high quality deliverables strong problem solving and communication skills are preferred,345,336,"['SQL', 'Power BI']",['power bi']
JOB09211,Data Analyst,NextGen Systems,Remote,"We are looking for a Data Analyst to join our team. The candidate should have experience with Power BI, Pandas, Excel, Tableau, Python and SQL. The role involves developing solutions, analyzing requirements, collaborating with cross-functional teams, and maintaining high-quality deliverables. Strong problem-solving and communication skills are preferred.",2-4 years,B.E.,12-15 LPA,Contract,we are looking for a data analyst to join our team the candidate should have experience with power bi pandas excel tableau python and sql the role involves developing solutions analyzing requirements collaborating with cross functional teams and maintaining high quality deliverables strong problem solving and communication skills are preferred,356,345,"['Python', 'SQL', 'Power BI']",['power bi']
JOB05023,Data Analyst,TechNova Solutions,"Chennai, India","We are looking for a Data Analyst to join our team. The candidate should have experience with Python, SQL, Tableau, Power BI, Pandas and Statistics. The role involves developing solutions, analyzing requirements, collaborating with cross-functional teams, and maintaining high-quality deliverables. Strong problem-solving and communication skills are preferred.",5-8 years,Master's Degree,5-7 LPA,Contract,we are looking for a data analyst to join our team the candidate should have experience with python sql tableau power bi pandas and statistics the role involves developing solutions analyzing requirements collaborating with cross functional teams and maintaining high quality deliverables strong problem solving and communication skills are preferred,361,350,"['Python', 'SQL', 'Power BI']",['power bi']
JOB07924,QA Engineer,NexaWorks,"Noida, India","We are looking for a QA Engineer to join our team. The candidate should have experience with Java, Git, API Testing, Python and SQL. The role involves developing solutions, analyzing requirements, collaborating with cross-functional teams, and maintaining high-quality deliverables. Strong problem-solving and communication skills are preferred.",2-4 years,B.Tech,5-9 LPA,Full-time,we are looking for a qa engineer to join our team the candidate should have experience with java git api testing python and sql the role involves developing solutions analyzing requirements collaborating with cross functional teams and maintaining high quality deliverables strong problem solving and communication skills are preferred,345,335,"['Python', 'SQL', 'Java']",[]
JOB04476,Business Analyst,Apex Solutions,"Mumbai, India","We are looking for a Business Analyst to join our team. The candidate should have experience with SQL, Excel, Business Analysis, Power BI, Tableau and Communication. The role involves developing solutions, analyzing requirements, collaborating with cross-functional teams, and maintaining high-quality deliverables. Strong problem-solving and communication skills are preferred.",3-5 years,Bachelor's Degree,11-14 LPA,Full-time,we are looking for a business analyst to join our team the candidate should have experience with sql excel business analysis power bi tableau and communication the role involves developing solutions analyzing requirements collaborating with cross functional teams and maintaining high quality deliverables strong problem solving and communication skills are preferred,378,367,"['SQL', 'Power BI']",['power bi']
JOB06709,Data Analyst,FinEdge Technologies,"Bangalore, India","We are looking for a Data Analyst to join our team. The candidate should have experience with Power BI, SQL, Excel and Python. The role involves developing solutions, analyzing requirements, collaborating with cross-functional teams, and maintaining high-quality deliverables. Strong problem-solving and communication skills are preferred.",5-8 years,B.Tech,12-17 LPA,Full-time,we are looking for a data analyst to join our team the candidate should have experience with power bi sql excel and python the role involves developing solutions analyzing requirements collaborating with cross functional teams and maintaining high quality deliverables strong problem solving and communication skills are preferred,339,330,"['Python', 'SQL', 'Power BI']",['power bi']
JOB00108,Data Analyst,Quantix Technologies,Remote,"We are looking for a Data Analyst to join our team. The candidate should have experience with Statistics, Pandas, Power BI and Tableau. The role involves developing solutions, analyzing requirements, collaborating with cross-functional teams, and maintaining high-quality deliverables. Strong problem-solving and communication skills are preferred.",5-8 years,B.Tech/M.Tech,12-16 LPA,Contract,we are looking for a data analyst to join our team the candidate should have experience with statistics pandas power bi and tableau the role involves developing solutions analyzing requirements collaborating with cross functional teams and maintaining high quality deliverables strong problem solving and communication skills are preferred,348,339,['Power BI'],['power bi']
JOB03320,Software Engineer,BlueOrbit Software,"Hyderabad, India","We are looking for a Software Engineer to join our team. The candidate should have experience with Docker, Git, REST API and SQL. The role involves developing solutions, analyzing requirements, collaborating with cross-functional teams, and maintaining high-quality deliverables. Strong problem-solving and communication skills are preferred.",2-4 years,B.E.,7-12 LPA,Internship,we are looking for a software engineer to join our team the candidate should have experience with docker git rest api and sql the role involves developing solutions analyzing requirements collaborating with cross functional teams and maintaining high quality deliverables strong problem solving and communication skills are preferred,342,333,"['SQL', 'Docker']",[]
JOB05658,DevOps Engineer,NexaWorks,"Noida, India","We are looking for a DevOps Engineer to join our team. The candidate should have experience with Git, Linux, Kubernetes, Terraform, Jenkins and Docker. The role involves developing solutions, analyzing requirements, collaborating with cross-functional teams, and maintaining high-quality deliverables. Strong problem-solving and communication skills are preferred.",1-3 years,Master's Degree,8-13 LPA,Contract,we are looking for a devops engineer to join our team the candidate should have experience with git linux kubernetes terraform jenkins and docker the role involves developing solutions analyzing requirements collaborating with cross functional teams and maintaining high quality deliverables strong problem solving and communication skills are preferred,364,353,"['Docker', 'Kubernetes']",[]
JOB08791,Business Analyst,DataBridge Analytics,"Delhi, India","We are looking for a Business Analyst to join our team. The candidate should have experience with Communication, Business Analysis, SQL, Tableau and Excel. The role involves developing solutions, analyzing requirements, collaborating with cross-functional teams, and maintaining high-quality deliverables. Strong problem-solving and communication skills are preferred.",0-2 years,Bachelor's Degree,4-6 LPA,Full-time,we are looking for a business analyst to join our team the candidate should have experience with communication business analysis sql tableau and excel the role involves developing solutions analyzing requirements collaborating with cross functional teams and maintaining high quality deliverables strong problem solving and communication skills are preferred,368,358,['SQL'],[]
JOB03606,Data Scientist,Vertex Digital,"Delhi, India","We are looking for a Data Scientist to join our team. The candidate should have experience with AWS, NumPy, Pandas and SQL. The role involves developing solutions, analyzing requirements, collaborating with cross-functional teams, and maintaining high-quality deliverables. Strong problem-solving and communication skills are preferred.",3-5 years,B.Tech,8-13 LPA,Full-time,we are looking for a data scientist to join our team the candidate should have experience with aws numpy pandas and sql the role involves developing solutions analyzing requirements collaborating with cross functional teams and maintaining high quality deliverables strong problem solving and communication skills are preferred,336,327,"['SQL', 'AWS']",[]
JOB06283,Machine Learning Engineer,Vertex Digital,"Delhi, India","We are looking for a Machine Learning Engineer to join our team. The candidate should have experience with Python, AWS, TensorFlow and Scikit-learn. The role involves developing solutions, analyzing requirements, collaborating with cross-functional teams, and maintaining high-quality deliverables. Strong problem-solving and communication skills are preferred.",1-3 years,B.Tech/M.Tech,10-14 LPA,Full-time,we are looking for a machine learning engineer to join our team the candidate should have experience with python aws tensorflow and scikit learn the role involves developing solutions analyzing requirements collaborating with cross functional teams and maintaining high quality deliverables strong problem solving and communication skills are preferred,361,352,"['Python', 'AWS', 'Machine Learning']",['machine learning']
JOB02517,Data Analyst,Quantix Technologies,"Delhi, India","We are looking for a Data Analyst to join our team. The candidate should have experience with Power BI, Tableau, Pandas, Python and SQL. The role involves developing solutions, analyzing requirements, collaborating with cross-functional teams, and maintaining high-quality deliverables. Strong problem-solving and communication skills are preferred.",5-8 years,Master's Degree,11-16 LPA,Full-time,we are looking for a data analyst to join our team the candidate should have experience with power bi tableau pandas python and sql the role involves developing solutions analyzing requirements collaborating with cross functional teams and maintaining high quality deliverables strong problem solving and communication skills are preferred,349,339,"['Python', 'SQL', 'Power BI']",['power bi']
JOB00501,QA Engineer,NexaWorks,"Gwalior, India","We are looking for a QA Engineer to join our team. The candidate should have experience with API Testing, Selenium, SQL and Jira. The role involves developing solutions, analyzing requirements, collaborating with cross-functional teams, and maintaining high-quality deliverables. Strong problem-solving and communication skills are preferred.",0-2 years,Bachelor's Degree,6-11 LPA,Full-time,we are looking for a qa engineer to join our team the candidate should have experience with api testing selenium sql and jira the role involves developing solutions analyzing requirements collaborating with cross functional teams and maintaining high quality deliverables strong problem solving and communication skills are preferred,342,333,['SQL'],[]
JOB08794,DevOps Engineer,FinEdge Technologies,"Bangalore, India","We are looking for a DevOps Engineer to join our team. The candidate should have experience with Terraform, Git, Jenkins, Docker and Linux. The role involves developing solutions, analyzing requirements, collaborating with cross-functional teams, and maintaining high-quality deliverables. Strong problem-solving and communication skills are preferred.",5-8 years,Master's Degree,7-12 LPA,Full-time,we are looking for a devops engineer to join our team the candidate should have experience with terraform git jenkins docker and linux the role involves developing solutions analyzing requirements collaborating with cross functional teams and maintaining high quality deliverables strong problem solving and communication skills are preferred,352,342,['Docker'],[]
JOB01922,DevOps Engineer,Quantix Technologies,"Hyderabad, India","We are looking for a DevOps Engineer to join our team. The candidate should have experience with Terraform, Docker, AWS and Linux. The role involves developing solutions, analyzing requirements, collaborating with cross-functional teams, and maintaining high-quality deliverables. Strong problem-solving and communication skills are preferred.",1-3 years,B.E.,8-10 LPA,Internship,we are looking for a devops engineer to join our team the candidate should have experience with terraform docker aws and linux the role involves developing solutions analyzing requirements collaborating with cross functional teams and maintaining high quality deliverables strong problem solving and communication skills are preferred,343,334,"['AWS', 'Docker']",[]
JOB04302,QA Engineer,Apex Solutions,"Gurgaon, India","We are looking for a QA Engineer to join our team. The candidate should have experience with Selenium, API Testing, Jira and SQL. The role involves developing solutions, analyzing requirements, collaborating with cross-functional teams, and maintaining high-quality deliverables. Strong problem-solving and communication skills are preferred.",5-8 years,Bachelor's Degree,6-11 LPA,Full-time,we are looking for a qa engineer to join our team the candidate should have experience with selenium api testing jira and sql the role involves developing solutions analyzing requirements collaborating with cross functional teams and maintaining high quality deliverables strong problem solving and communication skills are preferred,342,333,['SQL'],[]
JOB09113,Cloud Engineer,Apex Solutions,"Gurgaon, India","We are looking for a Cloud Engineer to join our team. The candidate should have experience with AWS, Linux, Docker and Kubernetes. The role involves developing solutions, analyzing requirements, collaborating with cross-functional teams, and maintaining high-quality deliverables. Strong problem-solving and communication skills are preferred.",3-5 years,Bachelor's Degree,12-15 LPA,Internship,we are looking for a cloud engineer to join our team the candidate should have experience with aws linux docker and kubernetes the role involves developing solutions analyzing requirements collaborating with cross functional teams and maintaining high quality deliverables strong problem solving and communication skills are preferred,343,334,"['AWS', 'Docker', 'Kubernetes']",[]
JOB09728,Business Analyst,InnovateLabs,"Delhi, India","We are looking for a Business Analyst to join our team. The candidate should have experience with Excel, Power BI, Tableau, SQL and Communication. The role involves developing solutions, analyzing requirements, collaborating with cross-functional teams, and maintaining high-quality deliverables. Strong problem-solving and communication skills are preferred.",2-4 years,B.Tech/M.Tech,9-11 LPA,Contract,we are looking for a business analyst to join our team the candidate should have experience with excel power bi tableau sql and communication the role involves developing solutions analyzing requirements collaborating with cross functional teams and maintaining high quality deliverables strong problem solving and communication skills are preferred,359,349,"['SQL', 'Power BI']",['power bi']
JOB06272,Business Analyst,BlueOrbit Software,"Bangalore, India","We are looking for a Business Analyst to join our team. The candidate should have experience with Excel, SQL, Tableau, Power BI and Business Analysis. The role involves developing solutions, analyzing requirements, collaborating with cross-functional teams, and maintaining high-quality deliverables. Strong problem-solving and communication skills are preferred.",5-8 years,Master's Degree,8-13 LPA,Full-time,we are looking for a business analyst to join our team the candidate should have experience with excel sql tableau power bi and business analysis the role involves developing solutions analyzing requirements collaborating with cross functional teams and maintaining high quality deliverables strong problem solving and communication skills are preferred,363,353,"['SQL', 'Power BI']",['power bi']
JOB04443,Cloud Engineer,FinEdge Technologies,"Bangalore, India","We are looking for a Cloud Engineer to join our team. The candidate should have experience with Terraform, Python, Azure and Linux. The role involves developing solutions, analyzing requirements, collaborating with cross-functional teams, and maintaining high-quality deliverables. Strong problem-solving and communication skills are preferred.",1-3 years,Bachelor's Degree,9-13 LPA,Full-time,we are looking for a cloud engineer to join our team the candidate should have experience with terraform python azure and linux the role involves developing solutions analyzing requirements collaborating with cross functional teams and maintaining high quality deliverables strong problem solving and communication skills are preferred,344,335,"['Python', 'Azure']",[]
