job_id,job_title,company,location,experience,education,salary,job_type,skill,skill_category
JOB07402,Frontend Developer,DataBridge Analytics,"Gurgaon, India",1-3 years,B.E.,9-14 LPA,Full-time,java,Programming
JOB07402,Frontend Developer,DataBridge Analytics,"Gurgaon, India",1-3 years,B.E.,9-14 LPA,Full-time,javascript,Programming
JOB07402,Frontend Developer,DataBridge Analytics,"Gurgaon, India",1-3 years,B.E.,9-14 LPA,Full-time,git,Version Control
JOB05835,Software Engineer,Vertex Digital,"Mumbai, India",3-5 years,Bachelor's Degree,12-16 LPA,Internship,python,Programming
JOB05835,Software Engineer,Vertex Digital,"Mumbai, India",3-5 years,Bachelor's Degree,12-16 LPA,Internship,sql,Database
JOB05835,Software Engineer,Vertex Digital,"Mumbai, India",3-5 years,Bachelor's Degree,12-16 LPA,Internship,git,Version Control
JOB02123,Machine Learning Engineer,CloudSphere,"Mumbai, India",1-3 years,B.E.,8-11 LPA,Full-time,python,Programming
JOB02123,Machine Learning Engineer,CloudSphere,"Mumbai, India",1-3 years,B.E.,8-11 LPA,Full-time,tensorflow,Machine Learning
JOB02123,Machine Learning Engineer,CloudSphere,"Mumbai, India",1-3 years,B.E.,8-11 LPA,Full-time,pytorch,Machine Learning
JOB02123,Machine Learning Engineer,CloudSphere,"Mumbai, India",1-3 years,B.E.,8-11 LPA,Full-time,aws,Cloud
JOB02123,Machine Learning Engineer,CloudSphere,"Mumbai, India",1-3 years,B.E.,8-11 LPA,Full-time,docker,DevOps
JOB08789,Cloud Engineer,Apex Solutions,"Mumbai, India",3-5 years,Master's Degree,11-16 LPA,Full-time,aws,Cloud
JOB08789,Cloud Engineer,Apex Solutions,"Mumbai, India",3-5 years,Master's Degree,11-16 LPA,Full-time,azure,Cloud
JOB08789,Cloud Engineer,Apex Solutions,"Mumbai, India",3-5 years,Master's Degree,11-16 LPA,Full-time,docker,DevOps
JOB08789,Cloud Engineer,Apex Solutions,"Mumbai, India",3-5 years,Master's Degree,11-16 LPA,Full-time,kubernetes,DevOps
JOB00305,Frontend Developer,Quantix Technologies,"Noida, India",3-5 years,B.Tech,10-12 LPA,Full-time,java,Programming
JOB00305,Frontend Developer,Quantix Technologies,"Noida, India",3-5 years,B.Tech,10-12 LPA,Full-time,javascript,Programming
JOB00305,Frontend Developer,Quantix Technologies,"Noida, India",3-5 years,B.Tech,10-12 LPA,Full-time,git,Version Control
JOB02532,Data Analyst,NexaWorks,"Bangalore, India",5-8 years,B.E.,5-10 LPA,Full-time,python,Programming
JOB02532,Data Analyst,NexaWorks,"Bangalore, India",5-8 years,B.E.,5-10 LPA,Full-time,sql,Database
JOB02532,Data Analyst,NexaWorks,"Bangalore, India",5-8 years,B.E.,5-10 LPA,Full-time,power bi,Data Analytics
JOB02532,Data Analyst,NexaWorks,"Bangalore, India",5-8 years,B.E.,5-10 LPA,Full-time,tableau,Data Analytics
JOB02532,Data Analyst,NexaWorks,"Bangalore, India",5-8 years,B.E.,5-10 LPA,Full-time,excel,Data Analytics
JOB02532,Data Analyst,NexaWorks,"Bangalore, India",5-8 years,B.E.,5-10 LPA,Full-time,pandas,Data Science
JOB02996,Machine Learning Engineer,NexaWorks,"Hyderabad, India",2-4 years,B.E.,10-13 LPA,Full-time,python,Programming
JOB02996,Machine Learning Engineer,NexaWorks,"Hyderabad, India",2-4 years,B.E.,10-13 LPA,Full-time,sql,Database
JOB02996,Machine Learning Engineer,NexaWorks,"Hyderabad, India",2-4 years,B.E.,10-13 LPA,Full-time,tensorflow,Machine Learning
JOB02996,Machine Learning Engineer,NexaWorks,"Hyderabad, India",2-4 years,B.E.,10-13 LPA,Full-time,pytorch,Machine Learning
JOB07660,DevOps Engineer,TechNova Solutions,"Chennai, India",2-4 years,B.E.,8-12 LPA,Full-time,aws,Cloud
JOB07660,DevOps Engineer,TechNova Solutions,"Chennai, India",2-4 years,B.E.,8-12 LPA,Full-time,kubernetes,DevOps
JOB07660,DevOps Engineer,TechNova Solutions,"Chennai, India",2-4 years,B.E.,8-12 LPA,Full-time,git,Version Control
JOB08225,QA Engineer,CloudSphere,"Gurgaon, India",2-4 years,B.Tech,7-11 LPA,Part-time,python,Programming
JOB08225,QA Engineer,CloudSphere,"Gurgaon, India",2-4 years,B.Tech,7-11 LPA,Part-time,sql,Database
JOB04449,Business Analyst,NexaWorks,"Delhi, India",1-3 years,Bachelor's Degree,10-14 LPA,Full-time,sql,Database
JOB04449,Business Analyst,NexaWorks,"Delhi, India",1-3 years,Bachelor's Degree,10-14 LPA,Full-time,power bi,Data Analytics
JOB04449,Business Analyst,NexaWorks,"Delhi, India",1-3 years,Bachelor's Degree,10-14 LPA,Full-time,tableau,Data Analytics
JOB04449,Business Analyst,NexaWorks,"Delhi, India",1-3 years,Bachelor's Degree,10-14 LPA,Full-time,excel,Data Analytics
JOB03621,Data Analyst,Apex Solutions,"Gwalior, India",5-8 years,B.E.,8-11 LPA,Internship,sql,Database
JOB03621,Data Analyst,Apex Solutions,"Gwalior, India",5-8 years,B.E.,8-11 LPA,Internship,power bi,Data Analytics
JOB03621,Data Analyst,Apex Solutions,"Gwalior, India",5-8 years,B.E.,8-11 LPA,Internship,tableau,Data Analytics
JOB09211,Data Analyst,NextGen Systems,Remote,2-4 years,B.E.,12-15 LPA,Contract,python,Programming
JOB09211,Data Analyst,NextGen Systems,Remote,2-4 years,B.E.,12-15 LPA,Contract,sql,Database
