job_id,job_title,company,location,job_description,experience,education,salary,job_type,clean_description,original_length,clean_length,processed_text
JOB07402,Frontend Developer,DataBridge Analytics,"Gurgaon, India","We are looking for a Frontend Developer to join our team. The candidate should have experience with Git, HTML, TypeScript, React, CSS and JavaScript. The role involves developing solutions, analyzing requirements, collaborating with cross-functional teams, and maintaining high-quality deliverables. Strong problem-solving and communication skills are preferred.",1-3 years,B.E.,9-14 LPA,Full-time,we are looking for a frontend developer to join our team the candidate should have experience with git html typescript react css and javascript the role involves developing solutions analyzing requirements collaborating with cross functional teams and maintaining high quality deliverables strong problem solving and communication skills are preferred,362,351,"['looking', 'frontend', 'developer', 'join', 'team', 'candidate', 'experience', 'git', 'html', 'typescript', 'react', 'cs', 'javascript', 'role', 'involves', 'developing', 'solution', 'analyzing', 'requirement', 'collaborating', 'cross', 'functional', 'team', 'maintaining', 'high', 'quality', 'deliverable', 'strong', 'problem', 'solving', 'communication', 'skill', 'preferred']"
JOB05835,Software Engineer,Vertex Digital,"Mumbai, India","We are looking for a Software Engineer to join our team. The candidate should have experience with Git, Python, SQL and REST API. The role involves developing solutions, analyzing requirements, collaborating with cross-functional teams, and maintaining high-quality deliverables. Strong problem-solving and communication skills are preferred.",3-5 years,Bachelor's Degree,12-16 LPA,Internship,we are looking for a software engineer to join our team the candidate should have experience with git python sql and rest api the role involves developing solutions analyzing requirements collaborating with cross functional teams and maintaining high quality deliverables strong problem solving and communication skills are preferred,342,333,"['looking', 'software', 'engineer', 'join', 'team', 'candidate', 'experience', 'git', 'python', 'sql', 'rest', 'api', 'role', 'involves', 'developing', 'solution', 'analyzing', 'requirement', 'collaborating', 'cross', 'functional', 'team', 'maintaining', 'high', 'quality', 'deliverable', 'strong', 'problem', 'solving', 'communication', 'skill', 'preferred']"
JOB02123,Machine Learning Engineer,CloudSphere,"Mumbai, India","We are looking for a Machine Learning Engineer to join our team. The candidate should have experience with PyTorch, Docker, Python, TensorFlow and AWS. The role involves developing solutions, analyzing requirements, collaborating with cross-functional teams, and maintaining high-quality deliverables. Strong problem-solving and communication skills are preferred.",1-3 years,B.E.,8-11 LPA,Full-time,we are looking for a machine learning engineer to join our team the candidate should have experience with pytorch docker python tensorflow and aws the role involves developing solutions analyzing requirements collaborating with cross functional teams and maintaining high quality deliverables strong problem solving and communication skills are preferred,364,354,"['looking', 'machine', 'learning', 'engineer', 'join', 'team', 'candidate', 'experience', 'pytorch', 'docker', 'python', 'tensorflow', 'aws', 'role', 'involves', 'developing', 'solution', 'analyzing', 'requirement', 'collaborating', 'cross', 'functional', 'team', 'maintaining', 'high', 'quality', 'deliverable', 'strong', 'problem', 'solving', 'communication', 'skill', 'preferred']"
JOB08789,Cloud Engineer,Apex Solutions,"Mumbai, India","We are looking for a Cloud Engineer to join our team. The candidate should have experience with Linux, Docker, Kubernetes, Azure, AWS and Terraform. The role involves developing solutions, analyzing requirements, collaborating with cross-functional teams, and maintaining high-quality deliverables. Strong problem-solving and communication skills are preferred.",3-5 years,Master's Degree,11-16 LPA,Full-time,we are looking for a cloud engineer to join our team the candidate should have experience with linux docker kubernetes azure aws and terraform the role involves developing solutions analyzing requirements collaborating with cross functional teams and maintaining high quality deliverables strong problem solving and communication skills are preferred,361,350,"['looking', 'cloud', 'engineer', 'join', 'team', 'candidate', 'experience', 'linux', 'docker', 'kubernetes', 'azure', 'aws', 'terraform', 'role', 'involves', 'developing', 'solution', 'analyzing', 'requirement', 'collaborating', 'cross', 'functional', 'team', 'maintaining', 'high', 'quality', 'deliverable', 'strong', 'problem', 'solving', 'communication', 'skill', 'preferred']"
JOB00305,Frontend Developer,Quantix Technologies,"Noida, India","We are looking for a Frontend Developer to join our team. The candidate should have experience with TypeScript, Git, REST API, JavaScript, React and CSS. The role involves developing solutions, analyzing requirements, collaborating with cross-functional teams, and maintaining high-quality deliverables. Strong problem-solving and communication skills are preferred.",3-5 years,B.Tech,10-12 LPA,Full-time,we are looking for a frontend developer to join our team the candidate should have experience with typescript git rest api javascript react and css the role involves developing solutions analyzing requirements collaborating with cross functional teams and maintaining high quality deliverables strong problem solving and communication skills are preferred,366,355,"['looking', 'frontend', 'developer', 'join', 'team', 'candidate', 'experience', 'typescript', 'git', 'rest', 'api', 'javascript', 'react', 'cs', 'role', 'involves', 'developing', 'solution', 'analyzing', 'requirement', 'collaborating', 'cross', 'functional', 'team', 'maintaining', 'high', 'quality', 'deliverable', 'strong', 'problem', 'solving', 'communication', 'skill', 'preferred']"
JOB02532,Data Analyst,NexaWorks,"Bangalore, India","We are looking for a Data Analyst to join our team. The candidate should have experience with Python, Excel, SQL, Pandas, Tableau and Power BI. The role involves developing solutions, analyzing requirements, collaborating with cross-functional teams, and maintaining high-quality deliverables. Strong problem-solving and communication skills are preferred.",5-8 years,B.E.,5-10 LPA,Full-time,we are looking for a data analyst to join our team the candidate should have experience with python excel sql pandas tableau and power bi the role involves developing solutions analyzing requirements collaborating with cross functional teams and maintaining high quality deliverables strong problem solving and communication skills are preferred,356,345,"['looking', 'data', 'analyst', 'join', 'team', 'candidate', 'experience', 'python', 'excel', 'sql', 'panda', 'tableau', 'power', 'bi', 'role', 'involves', 'developing', 'solution', 'analyzing', 'requirement', 'collaborating', 'cross', 'functional', 'team', 'maintaining', 'high', 'quality', 'deliverable', 'strong', 'problem', 'solving', 'communication', 'skill', 'preferred']"
JOB02996,Machine Learning Engineer,NexaWorks,"Hyderabad, India","We are looking for a Machine Learning Engineer to join our team. The candidate should have experience with Scikit-learn, Python, PyTorch, SQL and TensorFlow. The role involves developing solutions, analyzing requirements, collaborating with cross-functional teams, and maintaining high-quality deliverables. Strong problem-solving and communication skills are preferred.",2-4 years,B.E.,10-13 LPA,Full-time,we are looking for a machine learning engineer to join our team the candidate should have experience with scikit learn python pytorch sql and tensorflow the role involves developing solutions analyzing requirements collaborating with cross functional teams and maintaining high quality deliverables strong problem solving and communication skills are preferred,370,360,"['looking', 'machine', 'learning', 'engineer', 'join', 'team', 'candidate', 'experience', 'scikit', 'learn', 'python', 'pytorch', 'sql', 'tensorflow', 'role', 'involves', 'developing', 'solution', 'analyzing', 'requirement', 'collaborating', 'cross', 'functional', 'team', 'maintaining', 'high', 'quality', 'deliverable', 'strong', 'problem', 'solving', 'communication', 'skill', 'preferred']"
JOB07660,DevOps Engineer,TechNova Solutions,"Chennai, India","We are looking for a DevOps Engineer to join our team. The candidate should have experience with AWS, Jenkins, Kubernetes, Git and Terraform. The role involves developing solutions, analyzing requirements, collaborating with cross-functional teams, and maintaining high-quality deliverables. Strong problem-solving and communication skills are preferred.",2-4 years,B.E.,8-12 LPA,Full-time,we are looking for a devops engineer to join our team the candidate should have experience with aws jenkins kubernetes git and terraform the role involves developing solutions analyzing requirements collaborating with cross functional teams and maintaining high quality deliverables strong problem solving and communication skills are preferred,354,344,"['looking', 'devops', 'engineer', 'join', 'team', 'candidate', 'experience', 'aws', 'jenkins', 'kubernetes', 'git', 'terraform', 'role', 'involves', 'developing', 'solution', 'analyzing', 'requirement', 'collaborating', 'cross', 'functional', 'team', 'maintaining', 'high', 'quality', 'deliverable', 'strong', 'problem', 'solving', 'communication', 'skill', 'preferred']"
JOB08225,QA Engineer,CloudSphere,"Gurgaon, India","We are looking for a QA Engineer to join our team. The candidate should have experience with SQL, Selenium, Python and Jira. The role involves developing solutions, analyzing requirements, collaborating with cross-functional teams, and maintaining high-quality deliverables. Strong problem-solving and communication skills are preferred.",2-4 years,B.Tech,7-11 LPA,Part-time,we are looking for a qa engineer to join our team the candidate should have experience with sql selenium python and jira the role involves developing solutions analyzing requirements collaborating with cross functional teams and maintaining high quality deliverables strong problem solving and communication skills are preferred,337,328,"['looking', 'qa', 'engineer', 'join', 'team', 'candidate', 'experience', 'sql', 'selenium', 'python', 'jira', 'role', 'involves', 'developing', 'solution', 'analyzing', 'requirement', 'collaborating', 'cross', 'functional', 'team', 'maintaining', 'high', 'quality', 'deliverable', 'strong', 'problem', 'solving', 'communication', 'skill', 'preferred']"
JOB04449,Business Analyst,NexaWorks,"Delhi, India","We are looking for a Business Analyst to join our team. The candidate should have experience with Power BI, SQL, Business Analysis, Communication, Tableau and Excel. The role involves developing solutions, analyzing requirements, collaborating with cross-functional teams, and maintaining high-quality deliverables. Strong problem-solving and communication skills are preferred.",1-3 years,Bachelor's Degree,10-14 LPA,Full-time,we are looking for a business analyst to join our team the candidate should have experience with power bi sql business analysis communication tableau and excel the role involves developing solutions analyzing requirements collaborating with cross functional teams and maintaining high quality deliverables strong problem solving and communication skills are preferred,378,367,"['looking', 'business', 'analyst', 'join', 'team', 'candidate', 'experience', 'power', 'bi', 'sql', 'business', 'analysis', 'communication', 'tableau', 'excel', 'role', 'involves', 'developing', 'solution', 'analyzing', 'requirement', 'collaborating', 'cross', 'functional', 'team', 'maintaining', 'high', 'quality', 'deliverable', 'strong', 'problem', 'solving', 'communication', 'skill', 'preferred']"
JOB03621,Data Analyst,Apex Solutions,"Gwalior, India","We are looking for a Data Analyst to join our team. The candidate should have experience with Tableau, Statistics, SQL and Power BI. The role involves developing solutions, analyzing requirements, collaborating with cross-functional teams, and maintaining high-quality deliverables. Strong problem-solving and communication skills are preferred.",5-8 years,B.E.,8-11 LPA,Internship,we are looking for a data analyst to join our team the candidate should have experience with tableau statistics sql and power bi the role involves developing solutions analyzing requirements collaborating with cross functional teams and maintaining high quality deliverables strong problem solving and communication skills are preferred,345,336,"['looking', 'data', 'analyst', 'join', 'team', 'candidate', 'experience', 'tableau', 'statistic', 'sql', 'power', 'bi', 'role', 'involves', 'developing', 'solution', 'analyzing', 'requirement', 'collaborating', 'cross', 'functional', 'team', 'maintaining', 'high', 'quality', 'deliverable', 'strong', 'problem', 'solving', 'communication', 'skill', 'preferred']"
JOB09211,Data Analyst,NextGen Systems,Remote,"We are looking for a Data Analyst to join our team. The candidate should have experience with Power BI, Pandas, Excel, Tableau, Python and SQL. The role involves developing solutions, analyzing requirements, collaborating with cross-functional teams, and maintaining high-quality deliverables. Strong problem-solving and communication skills are preferred.",2-4 years,B.E.,12-15 LPA,Contract,we are looking for a data analyst to join our team the candidate should have experience with power bi pandas excel tableau python and sql the role involves developing solutions analyzing requirements collaborating with cross functional teams and maintaining high quality deliverables strong problem solving and communication skills are preferred,356,345,"['looking', 'data', 'analyst', 'join', 'team', 'candidate', 'experience', 'power', 'bi', 'panda', 'excel', 'tableau', 'python', 'sql', 'role', 'involves', 'developing', 'solution', 'analyzing', 'requirement', 'collaborating', 'cross', 'functional', 'team', 'maintaining', 'high', 'quality', 'deliverable', 'strong', 'problem', 'solving', 'communication', 'skill', 'preferred']"
JOB05023,Data Analyst,TechNova Solutions,"Chennai, India","We are looking for a Data Analyst to join our team. The candidate should have experience with Python, SQL, Tableau, Power BI, Pandas and Statistics. The role involves developing solutions, analyzing requirements, collaborating with cross-functional teams, and maintaining high-quality deliverables. Strong problem-solving and communication skills are preferred.",5-8 years,Master's Degree,5-7 LPA,Contract,we are looking for a data analyst to join our team the candidate should have experience with python sql tableau power bi pandas and statistics the role involves developing solutions analyzing requirements collaborating with cross functional teams and maintaining high quality deliverables strong problem solving and communication skills are preferred,361,350,"['looking', 'data', 'analyst', 'join', 'team', 'candidate', 'experience', 'python', 'sql', 'tableau', 'power', 'bi', 'panda', 'statistic', 'role', 'involves', 'developing', 'solution', 'analyzing', 'requirement', 'collaborating', 'cross', 'functional', 'team', 'maintaining', 'high', 'quality', 'deliverable', 'strong', 'problem', 'solving', 'communication', 'skill', 'preferred']"
